subclass	sample	random_cluster_n	random_max_cluster_size	true_mean_cluster_size	difference_true_mean_minus_random_max
001 CLA-EPd-CTX Car3 Glut	sample_170	1023	1674.0	277.578231292517	-1396.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_171	1052	1032.0	277.578231292517	-754.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_172	1037	1374.0	277.578231292517	-1096.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_173	1052	845.0	277.578231292517	-567.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_174	993	1539.0	277.578231292517	-1261.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_175	1067	1576.0	277.578231292517	-1298.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_176	1071	1301.0	277.578231292517	-1023.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_177	1047	1366.0	277.578231292517	-1088.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_178	1070	1237.0	277.578231292517	-959.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_179	1046	1610.0	277.578231292517	-1332.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_18	1064	1153.0	277.578231292517	-875.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_180	1048	1016.0	277.578231292517	-738.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_181	1033	1402.0	277.578231292517	-1124.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_182	1061	1099.0	277.578231292517	-821.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_183	1036	1616.0	277.578231292517	-1338.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_184	1059	1106.0	277.578231292517	-828.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_185	1044	1361.0	277.578231292517	-1083.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_186	1045	1135.0	277.578231292517	-857.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_187	1080	1075.0	277.578231292517	-797.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_188	1049	1483.0	277.578231292517	-1205.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_189	1053	2084.0	277.578231292517	-1806.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_19	1074	1144.0	277.578231292517	-866.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_190	1073	1014.0	277.578231292517	-736.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_191	1021	1219.0	277.578231292517	-941.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_192	1079	1082.0	277.578231292517	-804.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_193	1080	1248.0	277.578231292517	-970.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_194	1065	1012.0	277.578231292517	-734.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_195	1056	954.0	277.578231292517	-676.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_196	1044	1601.0	277.578231292517	-1323.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_197	1087	1497.0	277.578231292517	-1219.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_198	1056	1261.0	277.578231292517	-983.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_199	1029	1273.0	277.578231292517	-995.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_2	1068	1204.0	277.578231292517	-926.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_20	1059	1227.0	277.578231292517	-949.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_200	1074	1358.0	277.578231292517	-1080.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_201	1052	1279.0	277.578231292517	-1001.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_202	1048	1324.0	277.578231292517	-1046.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_203	1036	1530.0	277.578231292517	-1252.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_204	1047	1876.0	277.578231292517	-1598.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_205	1072	1378.0	277.578231292517	-1100.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_206	1056	1211.0	277.578231292517	-933.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_207	1061	1522.0	277.578231292517	-1244.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_208	1074	1278.0	277.578231292517	-1000.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_209	1043	1582.0	277.578231292517	-1304.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_21	1051	1392.0	277.578231292517	-1114.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_210	1033	1212.0	277.578231292517	-934.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_211	1011	1122.0	277.578231292517	-844.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_212	1032	2086.0	277.578231292517	-1808.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_213	1042	1775.0	277.578231292517	-1497.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_214	1030	1507.0	277.578231292517	-1229.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_215	1035	2003.0	277.578231292517	-1725.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_216	1035	1615.0	277.578231292517	-1337.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_217	1036	1294.0	277.578231292517	-1016.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_218	1062	889.0	277.578231292517	-611.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_219	1045	1648.0	277.578231292517	-1370.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_22	1080	937.0	277.578231292517	-659.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_220	1018	1168.0	277.578231292517	-890.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_221	1045	1715.0	277.578231292517	-1437.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_222	1068	1106.0	277.578231292517	-828.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_223	1021	1377.0	277.578231292517	-1099.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_224	1049	1150.0	277.578231292517	-872.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_225	1066	1098.0	277.578231292517	-820.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_226	1058	1347.0	277.578231292517	-1069.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_227	1052	1298.0	277.578231292517	-1020.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_228	1064	1206.0	277.578231292517	-928.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_229	1047	1316.0	277.578231292517	-1038.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_23	1063	1343.0	277.578231292517	-1065.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_230	1042	949.0	277.578231292517	-671.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_231	1028	1365.0	277.578231292517	-1087.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_232	1053	1247.0	277.578231292517	-969.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_233	1045	1198.0	277.578231292517	-920.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_234	1043	1382.0	277.578231292517	-1104.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_235	1064	1270.0	277.578231292517	-992.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_236	1051	1314.0	277.578231292517	-1036.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_237	1023	1698.0	277.578231292517	-1420.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_238	1051	1458.0	277.578231292517	-1180.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_239	1044	1662.0	277.578231292517	-1384.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_24	1038	1087.0	277.578231292517	-809.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_240	1070	1646.0	277.578231292517	-1368.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_241	1068	1051.0	277.578231292517	-773.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_242	1042	1417.0	277.578231292517	-1139.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_243	1027	981.0	277.578231292517	-703.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_244	1030	1898.0	277.578231292517	-1620.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_245	1023	1949.0	277.578231292517	-1671.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_246	1072	1581.0	277.578231292517	-1303.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_247	1030	1507.0	277.578231292517	-1229.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_248	1049	1119.0	277.578231292517	-841.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_249	1078	1237.0	277.578231292517	-959.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_25	1024	1725.0	277.578231292517	-1447.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_250	1050	982.0	277.578231292517	-704.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_251	1040	2397.0	277.578231292517	-2119.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_252	1048	989.0	277.578231292517	-711.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_253	1062	1254.0	277.578231292517	-976.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_254	1059	1074.0	277.578231292517	-796.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_255	1025	1258.0	277.578231292517	-980.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_256	1030	1060.0	277.578231292517	-782.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_257	1071	1007.0	277.578231292517	-729.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_258	1064	1063.0	277.578231292517	-785.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_259	1048	1164.0	277.578231292517	-886.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_26	1035	791.0	277.578231292517	-513.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_260	1069	1326.0	277.578231292517	-1048.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_261	1060	1418.0	277.578231292517	-1140.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_262	1054	1963.0	277.578231292517	-1685.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_263	1044	1690.0	277.578231292517	-1412.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_264	1053	1335.0	277.578231292517	-1057.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_265	1056	1510.0	277.578231292517	-1232.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_266	1073	1080.0	277.578231292517	-802.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_267	1020	1326.0	277.578231292517	-1048.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_268	1034	1280.0	277.578231292517	-1002.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_269	1060	1322.0	277.578231292517	-1044.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_27	1019	906.0	277.578231292517	-628.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_270	1041	1447.0	277.578231292517	-1169.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_271	1037	1313.0	277.578231292517	-1035.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_272	1062	1220.0	277.578231292517	-942.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_273	1039	1096.0	277.578231292517	-818.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_274	1055	1168.0	277.578231292517	-890.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_275	1085	1036.0	277.578231292517	-758.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_276	1075	1330.0	277.578231292517	-1052.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_277	1058	1595.0	277.578231292517	-1317.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_278	1042	999.0	277.578231292517	-721.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_279	1026	1118.0	277.578231292517	-840.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_28	1027	1572.0	277.578231292517	-1294.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_280	1097	1505.0	277.578231292517	-1227.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_281	1071	1844.0	277.578231292517	-1566.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_282	1044	1542.0	277.578231292517	-1264.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_283	1082	1264.0	277.578231292517	-986.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_284	1043	1157.0	277.578231292517	-879.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_285	1056	1195.0	277.578231292517	-917.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_286	1057	1476.0	277.578231292517	-1198.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_287	1072	1232.0	277.578231292517	-954.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_288	1065	1810.0	277.578231292517	-1532.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_289	1073	1949.0	277.578231292517	-1671.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_29	1036	1437.0	277.578231292517	-1159.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_290	1058	1675.0	277.578231292517	-1397.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_291	1042	1839.0	277.578231292517	-1561.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_292	1066	1269.0	277.578231292517	-991.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_293	1072	1987.0	277.578231292517	-1709.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_294	1057	1798.0	277.578231292517	-1520.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_295	1053	1491.0	277.578231292517	-1213.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_296	1057	1713.0	277.578231292517	-1435.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_297	1059	1237.0	277.578231292517	-959.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_298	1069	1088.0	277.578231292517	-810.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_299	1037	1816.0	277.578231292517	-1538.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_3	1037	2039.0	277.578231292517	-1761.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_30	1054	1342.0	277.578231292517	-1064.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_300	1023	1071.0	277.578231292517	-793.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_301	1033	1160.0	277.578231292517	-882.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_302	1024	1351.0	277.578231292517	-1073.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_303	1037	1256.0	277.578231292517	-978.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_304	1066	1296.0	277.578231292517	-1018.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_305	1075	1373.0	277.578231292517	-1095.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_306	1055	1196.0	277.578231292517	-918.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_307	1034	1299.0	277.578231292517	-1021.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_308	1020	1044.0	277.578231292517	-766.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_309	1067	1310.0	277.578231292517	-1032.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_31	1014	1493.0	277.578231292517	-1215.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_310	1049	1100.0	277.578231292517	-822.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_311	1099	1257.0	277.578231292517	-979.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_312	1079	1164.0	277.578231292517	-886.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_313	1053	999.0	277.578231292517	-721.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_314	1043	1181.0	277.578231292517	-903.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_315	1044	1652.0	277.578231292517	-1374.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_316	1030	926.0	277.578231292517	-648.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_317	1040	1733.0	277.578231292517	-1455.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_318	1060	1651.0	277.578231292517	-1373.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_319	1102	1663.0	277.578231292517	-1385.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_32	1072	1350.0	277.578231292517	-1072.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_320	1061	1024.0	277.578231292517	-746.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_321	1035	1133.0	277.578231292517	-855.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_322	1041	1374.0	277.578231292517	-1096.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_323	1055	1193.0	277.578231292517	-915.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_324	1045	1213.0	277.578231292517	-935.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_325	1043	1394.0	277.578231292517	-1116.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_326	1026	1074.0	277.578231292517	-796.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_327	1004	1566.0	277.578231292517	-1288.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_328	1084	1411.0	277.578231292517	-1133.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_329	1070	1284.0	277.578231292517	-1006.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_33	1064	1684.0	277.578231292517	-1406.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_330	1010	1221.0	277.578231292517	-943.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_331	1057	1354.0	277.578231292517	-1076.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_332	1025	1166.0	277.578231292517	-888.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_333	1068	1721.0	277.578231292517	-1443.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_334	1063	1883.0	277.578231292517	-1605.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_335	1068	920.0	277.578231292517	-642.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_336	1051	1050.0	277.578231292517	-772.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_337	1070	1413.0	277.578231292517	-1135.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_338	1036	1453.0	277.578231292517	-1175.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_339	1069	1102.0	277.578231292517	-824.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_34	1046	1138.0	277.578231292517	-860.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_340	1027	1094.0	277.578231292517	-816.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_341	1070	1112.0	277.578231292517	-834.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_342	1009	1805.0	277.578231292517	-1527.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_343	1061	941.0	277.578231292517	-663.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_344	1030	1140.0	277.578231292517	-862.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_345	1071	1692.0	277.578231292517	-1414.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_346	1030	1096.0	277.578231292517	-818.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_347	1085	1170.0	277.578231292517	-892.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_348	1058	1133.0	277.578231292517	-855.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_349	1049	1710.0	277.578231292517	-1432.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_35	1038	1150.0	277.578231292517	-872.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_350	1024	1712.0	277.578231292517	-1434.421768707483
